No.,Time,Source,Destination,Protocol,Length,Info
392007,794.060746,10.174.157.59,10.41.173.107,QUIC,464,Protected Payload (KP0)
392008,794.06216,10.41.173.107,10.174.157.59,QUIC,100,"Protected Payload (KP0), DCID=b72d008102e41e26"
392027,794.111713,10.174.157.59,10.41.173.107,QUIC,80,Protected Payload (KP0)
392393,795.499437,10.41.173.107,10.236.108.72,QUIC,68,"Protected Payload (KP0), DCID=8c33006501f726fd"
392394,795.556908,10.236.108.72,10.41.173.107,QUIC,80,Protected Payload (KP0)
392395,795.569445,10.41.173.107,10.236.108.72,QUIC,68,"Protected Payload (KP0), DCID=8c33006501f726fd"
392418,796.14953,10.41.173.107,10.254.180.215,QUIC,100,"Protected Payload (KP0), DCID=9c210086225cb778"
392419,796.229751,10.254.180.215,10.41.173.107,QUIC,80,Protected Payload (KP0)
392468,798.531035,10.41.173.107,10.236.108.72,QUIC,68,"Protected Payload (KP0), DCID=8c33006501f726fd"
392469,798.600759,10.236.108.72,10.41.173.107,QUIC,80,Protected Payload (KP0)
392477,798.64865,10.236.108.72,10.41.173.107,QUIC,80,Protected Payload (KP0)
392480,798.661022,10.41.173.107,10.236.108.72,QUIC,68,"Protected Payload (KP0), DCID=8c33006501f726fd"
394038,811.033978,10.239.16.243,10.218.185.154,TLSv1.2,94,Application Data
394039,811.118649,10.218.185.154,10.239.16.243,TCP,56,5223  >  34685 [ACK] Seq=32468 Ack=73017 Win=1059 Len=0 TSval=2503354945 TSecr=3556948610
394040,811.11876,10.218.185.154,10.79.81.239,TCP,66,5223  >  64067 [ACK] Seq=32468 Ack=70241 Win=1059 Len=0 TSval=2503354945 TSecr=3556948610
394041,811.12257,10.218.185.154,10.239.16.243,TLSv1.2,80,Application Data
394042,811.122663,10.218.185.154,10.79.81.239,TLSv1.2,90,Application Data
394043,811.123399,10.239.16.243,10.218.185.154,TCP,56,34685  >  5223 [ACK] Seq=73017 Ack=32492 Win=2047 Len=0 TSval=3556948699 TSecr=2503354947
394044,811.135526,10.218.185.154,10.239.16.243,TLSv1.2,142,Application Data
394045,811.135623,10.218.185.154,10.79.81.239,TLSv1.2,152,Application Data
