No.,Time,Source,Destination,Protocol,Length,Info
1,0,10.191.214.9,10.144.47.184,UDP,421,32827  >  443 Len=389
2,0.000288,10.191.214.9,10.144.47.184,UDP,418,32827  >  443 Len=386
3,0.028904,10.144.47.184,10.191.214.9,UDP,63,443  >  32827 Len=31
4,0.029017,10.144.47.184,10.151.40.217,UDP,73,443  >  55518 Len=31
5,0.065161,10.191.214.9,10.228.215.22,UDP,36,47206  >  3722 Len=4
6,0.06932,10.144.47.184,10.191.214.9,UDP,776,443  >  32827 Len=744
7,0.069383,10.144.47.184,10.151.40.217,UDP,786,443  >  55518 Len=744
8,0.082826,10.144.47.184,10.191.214.9,UDP,776,443  >  32827 Len=744
9,0.082876,10.144.47.184,10.151.40.217,UDP,786,443  >  55518 Len=744
10,0.083851,10.191.214.9,10.144.47.184,UDP,76,32827  >  443 Len=44
11,0.351712,10.191.214.9,10.253.22.130,TCP,68,33097  >  5222 [SYN] Seq=0 Win=65535 Len=0 MSS=1410 WS=64 TSval=1583168011 TSecr=0 SACK_PERM
12,0.398981,10.253.22.130,10.191.214.9,TCP,64,"5222  >  33097 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1392 SACK_PERM TSval=3126741320 TSecr=1583168011 WS=256"
13,0.399102,10.253.22.130,10.151.40.217,TCP,74,"5222  >  64095 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1392 SACK_PERM TSval=3126741320 TSecr=1583168011 WS=256"
14,0.400397,10.191.214.9,10.253.22.130,TCP,56,33097  >  5222 [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=1583168060 TSecr=3126741320
15,0.400528,10.191.214.9,10.253.22.130,TCP,60,"33097  >  5222 [PSH, ACK] Seq=1 Ack=1 Win=131072 Len=4 TSval=1583168060 TSecr=3126741320 [TCP PDU reassembled in 12014]"
16,0.400671,10.191.214.9,10.253.22.130,TCP,63,"33097  >  5222 [PSH, ACK] Seq=5 Ack=1 Win=131072 Len=7 TSval=1583168060 TSecr=3126741320 [TCP PDU reassembled in 12014]"
17,0.400727,10.191.214.9,10.253.22.130,TCP,60,"33097  >  5222 [PSH, ACK] Seq=12 Ack=1 Win=131072 Len=4 TSval=1583168060 TSecr=3126741320 [TCP PDU reassembled in 12014]"
18,0.402116,10.191.214.9,10.253.22.130,TCP,361,"33097  >  5222 [PSH, ACK] Seq=16 Ack=1 Win=131072 Len=305 TSval=1583168063 TSecr=3126741320 [TCP PDU reassembled in 12014]"
19,0.427856,10.253.22.130,10.191.214.9,TCP,56,5222  >  33097 [ACK] Seq=1 Ack=5 Win=65536 Len=0 TSval=3126741348 TSecr=1583168060
20,0.427923,10.253.22.130,10.151.40.217,TCP,66,5222  >  64095 [ACK] Seq=1 Ack=5 Win=65536 Len=0 TSval=3126741348 TSecr=1583168060
21,0.429062,10.253.22.130,10.191.214.9,TCP,56,5222  >  33097 [ACK] Seq=1 Ack=12 Win=65536 Len=0 TSval=3126741348 TSecr=1583168060
22,0.429098,10.253.22.130,10.151.40.217,TCP,66,5222  >  64095 [ACK] Seq=1 Ack=12 Win=65536 Len=0 TSval=3126741348 TSecr=1583168060
23,0.432757,10.253.22.130,10.191.214.9,TCP,56,5222  >  33097 [ACK] Seq=1 Ack=16 Win=65536 Len=0 TSval=3126741353 TSecr=1583168060
