No.,Time,Source,Destination,Protocol,Length,Info
8738,2130.134657,10.148.138.27,10.214.183.228,QUIC,64,"Protected Payload (KP0), DCID=e5ecf5b8ce4d648e"
8739,2130.135224,10.148.138.27,10.214.183.228,QUIC,60,"Protected Payload (KP0), DCID=e5ecf5b8ce4d648e"
8740,2130.135915,10.148.138.27,10.214.183.228,QUIC,64,"Protected Payload (KP0), DCID=e5ecf5b8ce4d648e"
8741,2130.136571,10.148.138.27,10.214.183.228,QUIC,64,"Protected Payload (KP0), DCID=e5ecf5b8ce4d648e"
8742,2130.139648,10.148.138.27,10.214.183.228,QUIC,61,"Protected Payload (KP0), DCID=e5ecf5b8ce4d648e"
8743,2130.144528,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8744,2130.144781,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8745,2130.144908,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8746,2130.145002,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8747,2130.145078,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8748,2130.145172,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8749,2130.145257,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8750,2130.145331,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8751,2130.145407,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8752,2130.145481,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8753,2130.145574,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8754,2130.145657,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8755,2130.145730,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8756,2130.145806,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8757,2130.145883,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8758,2130.145972,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8759,2130.146165,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8760,2130.146259,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8761,2130.146354,10.148.138.27,10.214.183.228,QUIC,61,"Protected Payload (KP0), DCID=e5ecf5b8ce4d648e"
8762,2130.146511,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8763,2130.146597,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8764,2130.146695,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8765,2130.146793,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8766,2130.146891,10.148.138.27,10.214.183.228,QUIC,61,"Protected Payload (KP0), DCID=e5ecf5b8ce4d648e"
8767,2130.147029,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8768,2130.147116,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8769,2130.147216,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8770,2130.147300,10.214.183.228,10.148.138.27,QUIC,1152,Protected Payload (KP0)
8771,2130.147378,10.214.183.228,10.148.138.27,QUIC,1270,Protected Payload (KP0)
8772,2130.148486,10.148.138.27,10.214.183.228,QUIC,61,"Protected Payload (KP0), DCID=e5ecf5b8ce4d648e"
8773,2130.148794,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8774,2130.149035,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8775,2130.149128,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8776,2130.149225,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8777,2130.149303,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8778,2130.149376,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8779,2130.149452,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8780,2130.149549,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8781,2130.154416,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
