No.,Time,Source,Destination,Protocol,Length,Info
1798,64.755101,10.218.160.19,10.209.121.249,DHCP,342,DHCP Discover - Transaction ID 0x7c1c8372
1815,65.082681,10.218.160.19,10.209.121.249,DHCP,342,DHCP Discover - Transaction ID 0x1e30520e
1844,66.098743,10.218.160.19,10.209.121.249,DHCP,342,DHCP Discover - Transaction ID 0x1e30520e
1845,66.162265,10.218.160.19,10.209.121.249,DHCP,342,DHCP Discover - Transaction ID 0x7c1c8372
1898,68.24871,10.218.160.19,10.209.121.249,DHCP,342,DHCP Discover - Transaction ID 0x1e30520e
1909,68.750782,10.218.160.19,10.209.121.249,DHCP,342,DHCP Discover - Transaction ID 0x7c1c8372
2034,72.520536,10.218.160.19,10.209.121.249,DHCP,342,DHCP Discover - Transaction ID 0x1e30520e
2045,73.059558,10.218.160.19,10.209.121.249,DHCP,342,DHCP Discover - Transaction ID 0x7c1c8372
2246,81.230779,10.218.160.19,10.209.121.249,DHCP,342,DHCP Discover - Transaction ID 0x7c1c8372
2269,81.454031,10.218.160.19,10.209.121.249,DHCP,342,DHCP Discover - Transaction ID 0x1e30520e
2473,89.938527,10.218.160.19,10.209.121.249,DHCP,342,DHCP Discover - Transaction ID 0x7c1c8372
2490,90.271154,10.218.160.19,10.209.121.249,DHCP,342,DHCP Discover - Transaction ID 0x1e30520e
2745,98.675434,10.218.160.19,10.209.121.249,DHCP,342,DHCP Discover - Transaction ID 0x7c1c8372
2746,98.857236,10.218.160.19,10.209.121.249,DHCP,342,DHCP Discover - Transaction ID 0x1e30520e
2986,106.923788,10.218.160.19,10.209.121.249,DHCP,342,DHCP Discover - Transaction ID 0x1e30520e
2987,107.12075,10.218.160.19,10.209.121.249,DHCP,342,DHCP Discover - Transaction ID 0x7c1c8372
3259,115.384157,10.218.160.19,10.209.121.249,DHCP,342,DHCP Discover - Transaction ID 0x7c1c8372
3280,115.559455,10.218.160.19,10.209.121.249,DHCP,342,DHCP Discover - Transaction ID 0x1e30520e
3449,123.70954,10.218.160.19,10.209.121.249,DHCP,342,DHCP Discover - Transaction ID 0x7c1c8372
3456,124.318196,10.218.160.19,10.209.121.249,DHCP,342,DHCP Discover - Transaction ID 0x1e30520e
3517,125.687127,10.50.9.120,10.189.174.248,MDNS,126,Standard query response 0x0000 PTR 07C4DC5D-D3D2-4596-8D5C-6BE6E90A236C._rp-tunnel._tcp.local
3536,127.688003,10.50.9.120,10.189.174.248,MDNS,126,Standard query response 0x0000 PTR 07C4DC5D-D3D2-4596-8D5C-6BE6E90A236C._rp-tunnel._tcp.local
3555,129.689279,10.50.9.120,10.189.174.248,MDNS,126,Standard query response 0x0000 PTR 07C4DC5D-D3D2-4596-8D5C-6BE6E90A236C._rp-tunnel._tcp.local
3598,136.341114,10.6.15.50,10.189.174.248,MDNS,117,"Standard query 0x0000 PTR _afpovertcp._tcp.local, ""QU"" question PTR _smb._tcp.local, ""QU"" question PTR _rfb._tcp.local, ""QU"" question PTR _adisk._tcp.local, ""QU"" question"
3609,136.509117,10.6.15.50,10.189.174.248,MDNS,117,"Standard query 0x0000 PTR _afpovertcp._tcp.local, ""QU"" question PTR _smb._tcp.local, ""QU"" question PTR _rfb._tcp.local, ""QU"" question PTR _adisk._tcp.local, ""QU"" question"
3616,137.512517,10.6.15.50,10.189.174.248,MDNS,117,"Standard query 0x0000 PTR _afpovertcp._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _rfb._tcp.local, ""QM"" question PTR _adisk._tcp.local, ""QM"" question"
3635,140.519906,10.6.15.50,10.189.174.248,MDNS,117,"Standard query 0x0000 PTR _afpovertcp._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _rfb._tcp.local, ""QM"" question PTR _adisk._tcp.local, ""QM"" question"
3682,149.537792,10.6.15.50,10.189.174.248,MDNS,117,"Standard query 0x0000 PTR _afpovertcp._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _rfb._tcp.local, ""QM"" question PTR _adisk._tcp.local, ""QM"" question"
3913,176.591942,10.6.15.50,10.189.174.248,MDNS,117,"Standard query 0x0000 PTR _afpovertcp._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _rfb._tcp.local, ""QM"" question PTR _adisk._tcp.local, ""QM"" question"
4002,191.996977,10.218.160.19,10.209.121.249,DHCP,342,DHCP Discover - Transaction ID 0x7c1c8373
4008,192.745262,10.50.9.120,10.189.174.248,MDNS,143,"Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR Hinddeep‚\200\231s MacBook Air (2)._companion-link._tcp.local"
4011,192.777439,10.6.15.50,10.189.174.248,MDNS,482,"Standard query 0x0000 PTR lb._dns-sd._udp.local, ""QM"" question PTR _airport._tcp.local, ""QM"" question PTR _hap._tcp.local, ""QM"" question PTR _hap._udp.local, ""QM"" question PTR _airplay._tcp.local, ""QM"" question PTR _uscan._tcp.local, ""QM"" question PTR _pdl-datastream._tcp.local, ""QM"" question PTR _uscans._tcp.local, ""QM"" question PTR _ippusb._tcp.local, ""QM"" question PTR _ptp._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question PTR _scanner._tcp.local, ""QM"" question PTR _printer._tcp.local, ""QM"" question PTR _ipps._tcp.local, ""QM"" question PTR _apple-mobdev._tcp.local, ""QM"" question PTR 951807ff._sub._apple-mobdev2._tcp.local, ""QM"" question PTR _apple-pairable._tcp.local, ""QM"" question PTR _remotepairing-manual-pairing._tcp.local, ""QM"" question PTR _00000003-c00d-4bb6-cea8-16f18cfc42cc._sub._appletv-v2._tcp.local, ""QM"" question PTR Hinddeep‚\200\231s MacBook Air (2)._airplay._tcp.local"
4013,193.174129,10.218.160.19,10.209.121.249,DHCP,342,DHCP Discover - Transaction ID 0x1e30520f
4014,193.19799,10.218.160.19,10.209.121.249,DHCP,342,DHCP Discover - Transaction ID 0x7c1c8373
4019,194.706288,10.218.160.19,10.209.121.249,DHCP,342,DHCP Discover - Transaction ID 0x1e30520f
4024,195.265713,10.218.160.19,10.209.121.249,DHCP,342,DHCP Discover - Transaction ID 0x7c1c8373
4033,197.032005,10.218.160.19,10.209.121.249,DHCP,342,DHCP Discover - Transaction ID 0x1e30520f
4046,199.937054,10.218.160.19,10.209.121.249,DHCP,342,DHCP Discover - Transaction ID 0x7c1c8373
4051,201.458961,10.218.160.19,10.209.121.249,DHCP,342,DHCP Discover - Transaction ID 0x1e30520f
4084,208.72609,10.218.160.19,10.209.121.249,DHCP,342,DHCP Discover - Transaction ID 0x7c1c8373
4089,209.766016,10.218.160.19,10.209.121.249,DHCP,342,DHCP Discover - Transaction ID 0x1e30520f
4134,216.869922,10.218.160.19,10.209.121.249,DHCP,342,DHCP Discover - Transaction ID 0x7c1c8373
4147,218.762358,10.218.160.19,10.209.121.249,DHCP,342,DHCP Discover - Transaction ID 0x1e30520f
6005,225.709586,10.218.160.19,10.209.121.249,DHCP,342,DHCP Discover - Transaction ID 0x7c1c8373
7429,227.425703,10.218.160.19,10.209.121.249,DHCP,342,DHCP Discover - Transaction ID 0x1e30520f
7720,234.084995,10.218.160.19,10.209.121.249,DHCP,342,DHCP Discover - Transaction ID 0x7c1c8373
7729,235.678366,10.218.160.19,10.209.121.249,DHCP,342,DHCP Discover - Transaction ID 0x1e30520f
7853,242.542699,10.218.160.19,10.209.121.249,DHCP,342,DHCP Discover - Transaction ID 0x7c1c8373
7860,244.106142,10.218.160.19,10.209.121.249,DHCP,342,DHCP Discover - Transaction ID 0x1e30520f
7905,251.416388,10.218.160.19,10.209.121.249,DHCP,342,DHCP Discover - Transaction ID 0x7c1c8373
7906,252.181725,10.218.160.19,10.209.121.249,DHCP,342,DHCP Discover - Transaction ID 0x1e30520f
7952,257.752115,10.6.15.50,10.189.174.248,MDNS,117,"Standard query 0x0000 PTR _afpovertcp._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _rfb._tcp.local, ""QM"" question PTR _adisk._tcp.local, ""QM"" question"
7983,263.063854,10.6.15.50,10.189.174.248,MDNS,271,"Standard query response 0x0000 TXT, cache flush NSEC, cache flush Hinddeep‚\200\231s MacBook Air (2)._companion-link._tcp.local"
8003,264.064385,10.6.15.50,10.189.174.248,MDNS,271,"Standard query response 0x0000 TXT, cache flush NSEC, cache flush Hinddeep‚\200\231s MacBook Air (2)._companion-link._tcp.local"
8018,266.064151,10.6.15.50,10.189.174.248,MDNS,271,"Standard query response 0x0000 TXT, cache flush NSEC, cache flush Hinddeep‚\200\231s MacBook Air (2)._companion-link._tcp.local"
8093,270.064944,10.6.15.50,10.189.174.248,MDNS,271,"Standard query response 0x0000 TXT, cache flush NSEC, cache flush Hinddeep‚\200\231s MacBook Air (2)._companion-link._tcp.local"
8735,319.66803,10.218.160.19,10.209.121.249,DHCP,342,DHCP Discover - Transaction ID 0x7c1c8374
8742,320.702552,10.218.160.19,10.209.121.249,DHCP,342,DHCP Discover - Transaction ID 0x7c1c8374
8745,321.075076,10.218.160.19,10.209.121.249,DHCP,342,DHCP Discover - Transaction ID 0x1e305210
8758,322.756703,10.218.160.19,10.209.121.249,DHCP,342,DHCP Discover - Transaction ID 0x1e305210
8761,323.649018,10.218.160.19,10.209.121.249,DHCP,342,DHCP Discover - Transaction ID 0x7c1c8374
8777,325.352727,10.218.160.19,10.209.121.249,DHCP,342,DHCP Discover - Transaction ID 0x1e305210
8790,328.577997,10.218.160.19,10.209.121.249,DHCP,342,DHCP Discover - Transaction ID 0x7c1c8374
8797,329.953702,10.218.160.19,10.209.121.249,DHCP,342,DHCP Discover - Transaction ID 0x1e305210
8824,336.828081,10.218.160.19,10.209.121.249,DHCP,342,DHCP Discover - Transaction ID 0x7c1c8374
8831,338.100161,10.218.160.19,10.209.121.249,DHCP,342,DHCP Discover - Transaction ID 0x1e305210
8871,344.000082,10.50.9.120,10.189.174.248,MDNS,130,Standard query response 0x0000 PTR 7256A5EE-DF61-4E23-ABBF-3F8B9489691B._remotepairing._tcp.local
8874,344.078007,10.50.9.120,10.189.174.248,MDNS,157,"Standard query 0x0000 ANY D35C8575-3E1C-439E-8834-794D0C0C5685._remotepairing._tcp.local, ""QU"" question SRV 0 0 49152 Jainils-iPhone.local"
8881,344.329242,10.50.9.120,10.189.174.248,MDNS,157,"Standard query 0x0000 ANY D35C8575-3E1C-439E-8834-794D0C0C5685._remotepairing._tcp.local, ""QM"" question SRV 0 0 49152 Jainils-iPhone.local"
8891,344.580394,10.50.9.120,10.189.174.248,MDNS,157,"Standard query 0x0000 ANY D35C8575-3E1C-439E-8834-794D0C0C5685._remotepairing._tcp.local, ""QM"" question SRV 0 0 49152 Jainils-iPhone.local"
8898,344.830734,10.50.9.120,10.189.174.248,MDNS,388,"Standard query response 0x0000 TXT, cache flush PTR _remotepairing._tcp.local PTR D35C8575-3E1C-439E-8834-794D0C0C5685._remotepairing._tcp.local SRV, cache flush 0 0 49152 Jainils-iPhone.local AAAA, cache flush fe80::30:8ad4:bf2e:16f6 A, cache flush 169.254.132.221 NSEC, cache flush Jainils-iPhone.local NSEC, cache flush D35C8575-3E1C-439E-8834-794D0C0C5685._remotepairing._tcp.local"
8927,345.622335,10.218.160.19,10.209.121.249,DHCP,342,DHCP Discover - Transaction ID 0x7c1c8374
8932,345.832186,10.50.9.120,10.189.174.248,MDNS,388,"Standard query response 0x0000 TXT, cache flush PTR _remotepairing._tcp.local PTR D35C8575-3E1C-439E-8834-794D0C0C5685._remotepairing._tcp.local SRV, cache flush 0 0 49152 Jainils-iPhone.local AAAA, cache flush fe80::30:8ad4:bf2e:16f6 A, cache flush 169.254.132.221 NSEC, cache flush Jainils-iPhone.local NSEC, cache flush D35C8575-3E1C-439E-8834-794D0C0C5685._remotepairing._tcp.local"
8951,346.000586,10.50.9.120,10.189.174.248,MDNS,130,Standard query response 0x0000 PTR 7256A5EE-DF61-4E23-ABBF-3F8B9489691B._remotepairing._tcp.local
8960,346.36139,10.218.160.19,10.209.121.249,DHCP,342,DHCP Discover - Transaction ID 0x1e305210
9142,347.833152,10.50.9.120,10.189.174.248,MDNS,388,"Standard query response 0x0000 TXT, cache flush PTR _remotepairing._tcp.local PTR D35C8575-3E1C-439E-8834-794D0C0C5685._remotepairing._tcp.local SRV, cache flush 0 0 49152 Jainils-iPhone.local AAAA, cache flush fe80::30:8ad4:bf2e:16f6 A, cache flush 169.254.132.221 NSEC, cache flush Jainils-iPhone.local NSEC, cache flush D35C8575-3E1C-439E-8834-794D0C0C5685._remotepairing._tcp.local"
