No.,Time,Source,Destination,Protocol,Length,Info
93,2.413778,10.218.222.43,10.153.186.80,DHCP,342,DHCP Discover - Transaction ID 0x8599d44f
278,7.404655,10.218.222.43,10.153.186.80,DHCP,342,DHCP Discover - Transaction ID 0x6d728283
409,11.256846,10.218.222.43,10.153.186.80,DHCP,342,DHCP Discover - Transaction ID 0x8599d44f
564,15.529349,10.218.222.43,10.153.186.80,DHCP,342,DHCP Discover - Transaction ID 0x6d728283
705,19.570837,10.240.103.183,10.111.35.152,MPTCP,68,50465  >  443 [ACK] Seq=1 Ack=1 Win=2063 Len=0 TSval=1466271766 TSecr=3589236211
706,19.570966,10.240.103.183,10.111.35.152,TLSv1.2,100,Application Data
707,19.571498,10.240.103.183,10.111.35.152,MPTCP,76,"50465  >  443 [FIN, ACK] Seq=25 Ack=1 Win=2063 Len=0 TSval=1466271766 TSecr=3589236211"
708,19.668864,10.111.35.152,10.240.103.183,MPTCP,76,443  >  50465 [ACK] Seq=1 Ack=1 Win=884 Len=0 TSval=3589301299 TSecr=1466271766 SLE=25 SRE=26
709,19.668865,10.111.35.152,10.240.103.183,MPTCP,64,443  >  50465 [ACK] Seq=1 Ack=26 Win=884 Len=0 TSval=3589301299 TSecr=1466271766
711,19.669098,10.111.35.152,10.240.103.183,TLSv1.2,104,Application Data
712,19.669099,10.111.35.152,10.240.103.183,TLSv1.2,100,Application Data
715,19.809157,10.240.103.183,10.111.35.152,TCP,44,50465  >  443 [RST] Seq=26 Win=0 Len=0
722,19.90047,10.218.222.43,10.153.186.80,DHCP,342,DHCP Discover - Transaction ID 0x8599d44f
853,23.650419,10.218.222.43,10.153.186.80,DHCP,342,DHCP Discover - Transaction ID 0x6d728283
952,26.13725,10.194.121.62,10.3.217.138,MDNS,560,"Standard query 0x0000 PTR lb._dns-sd._udp.local, ""QM"" question PTR _airport._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question PTR _uscans._tcp.local, ""QM"" question PTR _uscan._tcp.local, ""QM"" question PTR _ippusb._tcp.local, ""QM"" question PTR _ipps._tcp.local, ""QM"" question PTR _pdl-datastream._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question PTR _scanner._tcp.local, ""QM"" question PTR _ptp._tcp.local, ""QM"" question PTR _printer._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _rfb._tcp.local, ""QM"" question PTR _adisk._tcp.local, ""QM"" question PTR _apple-mobdev._tcp.local, ""QM"" question PTR 93ac07ec._sub._apple-mobdev2._tcp.local, ""QM"" question PTR _apple-pairable._tcp.local, ""QM"" question PTR _companion-link._tcp.local, ""QM"" question PTR _apple-mobdev2._tcp.local, ""QM"" question PTR _remotepairing-manual-pairing._tcp.local, ""QM"" question PTR _remotepairing._tcp.local, ""QM"" question PTR Akshay‚\200\231s MacBook Pro._companion-link._tcp.local PTR 5E9DB979-A367-4D94-B668-698264952C6C._remotepairing._tcp.local"
1052,28.567109,10.218.222.43,10.153.186.80,DHCP,342,DHCP Discover - Transaction ID 0x8599d44f
1165,31.937298,10.218.222.43,10.153.186.80,DHCP,342,DHCP Discover - Transaction ID 0x6d728283
1347,36.728246,10.218.222.43,10.153.186.80,DHCP,342,DHCP Discover - Transaction ID 0x8599d44f
1483,40.529282,10.218.222.43,10.153.186.80,DHCP,342,DHCP Discover - Transaction ID 0x6d728283
1650,45.40289,10.218.222.43,10.153.186.80,DHCP,342,DHCP Discover - Transaction ID 0x8599d44f
1761,48.854177,10.218.222.43,10.153.186.80,DHCP,342,DHCP Discover - Transaction ID 0x6d728283
1930,53.474464,10.218.222.43,10.153.186.80,DHCP,342,DHCP Discover - Transaction ID 0x8599d44f
2098,58.243637,10.218.159.69,10.3.217.138,MDNS,130,Standard query response 0x0000 PTR 5E9DB979-A367-4D94-B668-698264952C6C._remotepairing._tcp.local
2107,58.288677,10.218.159.69,10.3.217.138,MDNS,157,"Standard query 0x0000 ANY DA2A8149-51EA-4E8B-AB02-4FFF3280DEE8._remotepairing._tcp.local, ""QU"" question SRV 0 0 49152 Akshays-iPhone.local"
